,Column_Name,Null_Data,Actual_Data
1,PolicyType,8,92
2,PymtStat,12,88
3,AnntDOB,12,88
4,AnntSex,0,100
5,AnntLife,12,88
6,AnntDOD,0,100
7,JDOB,0,100
8,JSex,12,88
9,JLife,0,100
10,JT_DOD,12,88
11,ReserveDate,12,88
12,CommDate,12,88
13,NextPymtDt,0,100
14,COLADate,100,0
15,BeneDesc,0,100
16,TotalNoOfSeg,100,0
17,GDB,0,100
18,RefundAmt,12,88
19,IssueState,12,88
20,Segment,8,92
21,AnntPerc,8,92
22,JtPerc,8,92
23,Amount,0,100
24,Mode,0,100
25,SegType,8,92
26,IncStDt,8,92
27,IncStopDt,8,92
28,IncMode,8,92
29,IncType,8,92
30,IncRate,8,92
31,IncAmt,16,84
32,OriginalAmt,8,92
33,EndOfPC,8,92
34,SegStDt,8,92
35,SegEndDt,16,84
36,EXTRACT_DT,8,92
37,Line_of_Business,8,92
38,Option_Type_Code,8,92
39,Payment_Series_cd,9,91
40,Joint_Ann_Percent,2,98
41,Primary_Issue_age,34,66
